date,symbol,sentiment,sentiment high,sentiment low,news volume,news buzz
2017-07-07,INTC,-2,3,-5,36,8
2017-07-06,INTC,-1,3,-4,27,6
2017-07-05,INTC,3,5,1,27,6
2017-07-04,INTC,2,5,-2,12,2
2017-07-03,INTC,4,5,2,9,3
2017-07-02,INTC,-5,-5,-5,1,3
2017-07-01,INTC,2,5,-3,6,4
2017-06-30,INTC,2,5,-2,23,5
2017-06-29,INTC,-2,2,-4,14,3
2017-06-28,INTC,1,4,-4,18,4
2017-06-27,INTC,2,5,-3,25,5
2017-06-26,INTC,1,4,-4,34,10
2017-06-25,INTC,1,4,-4,4,3
2017-06-24,INTC,2,5,-2,6,2
2017-06-23,INTC,1,5,-4,14,3
2017-06-22,INTC,1,5,-3,18,4
2017-06-21,INTC,-1,3,-5,46,10
2017-06-20,INTC,2,5,-2,27,6
2017-06-19,INTC,1,5,-4,14,8
2017-06-18,INTC,0,0,0,0,0
2017-06-17,INTC,-1,4,-4,28,7
2017-06-16,INTC,3,5,1,7,1
2017-06-15,INTC,3,5,-1,14,2
2017-06-14,INTC,2,5,-2,26,3
2017-06-13,INTC,2,5,-2,19,2
2017-06-12,INTC,2,5,-3,14,4
2017-06-11,INTC,1,4,-3,7,3
2017-06-10,INTC,-2,2,-5,10,3
2017-06-09,INTC,1,5,-4,22,3
2017-06-08,INTC,1,5,-4,26,3
2017-06-07,INTC,1,4,-4,25,3
2017-06-06,INTC,1,5,-4,23,3
2017-06-05,INTC,3,5,-2,21,4
2017-06-04,INTC,-1,4,-5,4,2
2017-06-03,INTC,5,5,4,8,2
2017-06-02,INTC,1,5,-4,17,2
2017-06-01,INTC,1,5,-3,37,5
2017-05-31,INTC,2,5,-3,34,4
2017-05-30,INTC,3,5,-1,31,4
2017-05-29,INTC,3,5,-1,16,4
2017-05-28,INTC,-1,5,-5,3,2
2017-05-27,INTC,-1,4,-5,6,1
2017-05-26,INTC,1,5,-4,16,2
2017-05-25,INTC,-1,4,-5,25,3
2017-05-24,INTC,-1,4,-4,29,4
2017-05-23,INTC,1,5,-4,39,5
2017-05-22,INTC,2,5,-3,19,5
2017-05-21,INTC,-1,4,-4,6,2
2017-05-20,INTC,1,4,-4,11,2
2017-05-19,INTC,3,5,-1,11,1
2017-05-18,INTC,-1,3,-5,20,2
2017-05-17,INTC,1,5,-4,65,10
2017-05-16,INTC,1,5,-4,65,10
2017-05-15,INTC,2,4,-1,12,3
2017-05-14,INTC,2,4,-1,4,2
2017-05-13,INTC,1,5,-5,15,3
2017-05-12,INTC,-1,4,-5,18,2
2017-05-11,INTC,1,4,-4,37,5
2017-05-10,INTC,1,4,-4,16,2
2017-05-09,INTC,3,5,-2,15,2
2017-05-08,INTC,-2,2,-5,18,4
2017-05-07,INTC,2,4,-1,5,2
2017-05-06,INTC,1,4,-2,6,2
2017-05-05,INTC,-1,4,-4,16,2
2017-05-04,INTC,3,5,-1,15,2
2017-05-03,INTC,2,5,-3,23,3
2017-05-02,INTC,-1,3,-5,28,4
2017-05-01,INTC,1,4,-4,10,4
2017-04-30,INTC,-1,5,-5,6,6
2017-04-29,INTC,-2,3,-5,23,8
2017-04-28,INTC,-1,4,-5,62,10
2017-04-27,INTC,2,5,-2,35,10
2017-04-26,INTC,1,5,-4,16,4
2017-04-25,INTC,3,5,1,11,2
2017-04-24,INTC,3,5,-2,17,6
2017-04-23,INTC,3,5,-3,4,2
2017-04-22,INTC,2,5,-2,5,2
2017-04-21,INTC,-2,2,-5,12,3
2017-04-20,INTC,1,5,-4,16,4
2017-04-19,INTC,1,5,-3,17,4
2017-04-18,INTC,1,5,-3,27,7
2017-04-17,INTC,1,5,-4,21,1
2017-04-16,INTC,-2,2,-5,8,4
2017-04-15,INTC,3,5,-2,8,3
2017-04-14,INTC,4,5,1,21,5
2017-04-13,INTC,1,4,-3,17,3
2017-04-12,INTC,1,5,-4,11,1
2017-04-11,INTC,-1,4,-4,24,1
2017-04-10,INTC,1,5,-4,21,1
2017-04-09,INTC,-1,4,-5,6,0
2017-04-08,INTC,-1,3,-5,6,0
2017-04-07,INTC,2,5,-2,25,1
2017-04-06,INTC,-1,4,-5,19,0
2017-04-05,INTC,2,5,-3,14,0
2017-04-04,INTC,1,4,-4,37,1
2017-04-03,INTC,1,4,-3,19,2
2017-04-02,INTC,2,5,-4,11,1
2017-04-01,INTC,3,5,-1,13,1
2017-03-31,INTC,2,5,-2,26,1
2017-03-30,INTC,2,5,-2,23,1
2017-03-29,INTC,1,4,-4,21,1
2017-03-28,INTC,-1,3,-4,33,1
2017-03-27,INTC,2,5,-2,17,2
2017-03-26,INTC,1,5,-5,10,0
2017-03-25,INTC,3,5,-1,32,2
2017-03-24,INTC,2,5,-3,38,1
2017-03-23,INTC,1,5,-4,30,1
2017-03-22,INTC,2,5,-2,30,1
2017-03-21,INTC,1,5,-3,19,0
2017-03-20,INTC,-1,4,-5,29,3
2017-03-19,INTC,3,5,-1,8,2
2017-03-18,INTC,-1,4,-4,32,2
2017-03-17,INTC,-1,4,-4,21,1
2017-03-16,INTC,-1,4,-4,23,1
2017-03-15,INTC,2,5,-3,58,2
2017-03-14,INTC,2,5,-3,95,4
2017-03-13,INTC,2,5,-2,170,10
2017-03-12,INTC,3,5,-2,9,2
2017-03-11,INTC,-1,4,-5,3,5
2017-03-10,INTC,2,5,-3,35,7
2017-03-09,INTC,1,5,-4,19,4
2017-03-08,INTC,-1,4,-5,17,3
2017-03-07,INTC,2,5,-1,20,2
2017-03-06,INTC,1,5,-4,10,2
2017-03-05,INTC,4,5,2,6,2
2017-03-04,INTC,-2,3,-5,6,2
2017-03-03,INTC,1,5,-4,12,1
2017-03-02,INTC,-1,4,-4,24,2
2017-03-01,INTC,2,5,-3,27,3
2017-02-28,INTC,2,5,-2,16,1
2017-02-27,INTC,0,0,0,0,0
2017-02-26,INTC,0,0,0,0,0
2017-02-25,INTC,0,0,0,0,0
2017-02-24,INTC,1,5,-4,8,0
2017-02-23,INTC,1,5,-4,8,0
2017-02-22,INTC,5,5,5,3,0
2017-02-21,INTC,2,5,-3,25,2
2017-02-20,INTC,2,5,-3,11,1
2017-02-19,INTC,-2,3,-5,9,1
2017-02-18,INTC,2,5,-2,7,1
2017-02-17,INTC,1,5,-4,25,2
2017-02-16,INTC,1,5,-3,30,3
2017-02-15,INTC,-1,3,-4,19,2
2017-02-14,INTC,2,5,-3,29,3
2017-02-13,INTC,2,5,-3,31,6
2017-02-12,INTC,1,4,-3,13,3
2017-02-11,INTC,-1,3,-5,12,2
2017-02-10,INTC,1,5,-3,27,3
2017-02-09,INTC,3,5,-1,54,6
2017-02-08,INTC,3,5,-1,38,4
2017-02-07,INTC,1,5,-4,39,4
2017-02-06,INTC,-2,2,-5,76,10
2017-02-05,INTC,2,5,-2,15,4
2017-02-04,INTC,1,4,-3,17,2
2017-02-03,INTC,2,5,-3,11,1
2017-02-02,INTC,2,5,-3,25,3
2017-02-01,INTC,-1,3,-5,25,3
2017-01-31,INTC,2,5,-2,26,3
2017-01-30,INTC,1,5,-4,13,4
2017-01-29,INTC,3,5,-2,6,5
2017-01-28,INTC,3,5,1,13,6
2017-01-27,INTC,2,5,-3,84,10
2017-01-26,INTC,2,5,-3,36,5
2017-01-25,INTC,1,5,-4,22,3
2017-01-24,INTC,-1,3,-4,40,5
2017-01-23,INTC,1,4,-4,34,7
2017-01-22,INTC,2,5,-2,9,3
2017-01-21,INTC,1,5,-3,9,2
2017-01-20,INTC,1,5,-3,14,2
2017-01-19,INTC,2,5,-2,27,3
2017-01-18,INTC,1,5,-4,22,3
2017-01-17,INTC,1,5,-5,19,2
2017-01-16,INTC,3,5,-1,15,4
2017-01-15,INTC,5,5,4,3,2
2017-01-14,INTC,4,5,1,9,2
2017-01-13,INTC,2,5,-3,20,2
2017-01-12,INTC,-1,4,-4,31,4
2017-01-11,INTC,1,5,-4,38,5
2017-01-10,INTC,-1,4,-5,26,3
2017-01-09,INTC,1,4,-4,27,10
2017-01-08,INTC,-1,4,-4,13,7
2017-01-07,INTC,1,4,-4,35,8
2017-01-06,INTC,2,5,-2,42,6
2017-01-05,INTC,2,5,-2,60,8
2017-01-04,INTC,2,5,-2,68,10
2017-01-03,INTC,3,5,-1,50,10
2017-01-02,INTC,-2,2,-5,11,5
2017-01-01,INTC,1,4,-4,2,3
2016-12-31,INTC,2,5,-3,12,4
2016-12-30,INTC,1,5,-3,15,3
2016-12-29,INTC,-3,1,-5,16,3
2016-12-28,INTC,-1,3,-5,28,4
2016-12-27,INTC,-1,4,-4,7,1
2016-12-26,INTC,2,5,-2,7,2
2016-12-25,INTC,3,5,1,3,2
2016-12-24,INTC,1,4,-3,7,2
2016-12-23,INTC,2,5,-3,16,2
2016-12-22,INTC,-1,4,-5,13,2
2016-12-21,INTC,3,5,-1,18,2
2016-12-20,INTC,3,5,-1,13,2
2016-12-19,INTC,3,5,-1,44,10
2016-12-18,INTC,-1,3,-4,9,5
2016-12-17,INTC,1,4,-3,25,5
2016-12-16,INTC,2,5,-3,16,2
2016-12-15,INTC,2,5,-2,28,4
2016-12-14,INTC,3,5,-1,36,5
2016-12-13,INTC,2,5,-3,32,5
2016-12-12,INTC,4,5,2,32,8
2016-12-11,INTC,3,5,1,11,4
2016-12-10,INTC,-2,2,-5,9,3
2016-12-09,INTC,-1,4,-4,18,2
2016-12-08,INTC,-1,4,-5,46,7
2016-12-07,INTC,2,4,-2,32,5
2016-12-06,INTC,2,5,-3,31,5
2016-12-05,INTC,1,4,-4,22,3
2016-12-04,INTC,2,5,-3,8,7
2016-12-03,INTC,2,5,-3,17,4
2016-12-02,INTC,-1,4,-5,14,2
2016-12-01,INTC,1,5,-4,28,4
2016-11-30,INTC,2,5,-3,35,5
2016-11-29,INTC,3,5,-1,51,10
2016-11-28,INTC,0,0,0,0,0
2016-11-27,INTC,0,0,0,0,0
2016-11-26,INTC,0,0,0,0,0
2016-11-25,INTC,2,5,-2,18,5
2016-11-24,INTC,2,5,-2,18,5
2016-11-23,INTC,2,5,-2,19,4
2016-11-22,INTC,1,4,-4,28,7
2016-11-21,INTC,2,5,-3,19,9
2016-11-20,INTC,3,5,1,5,5
2016-11-19,INTC,2,5,-3,11,5
2016-11-18,INTC,2,5,-3,24,3
2016-11-17,INTC,2,5,-3,24,1
2016-11-16,INTC,4,5,1,24,1
2016-11-15,INTC,3,5,-1,31,1
2016-11-14,INTC,1,5,-3,13,1
2016-11-13,INTC,-1,2,-3,5,1
