date,symbol,sentiment,sentiment high,sentiment low,news volume,news buzz
2017-07-08,MRK,0,0,0,0,0
2017-07-07,MRK,-3,2,-5,23,3
2017-07-06,MRK,-4,-2,-5,52,10
2017-07-05,MRK,-2,-1,-4,9,1
2017-07-04,MRK,-2,4,-5,3,0
2017-07-03,MRK,2,5,-2,14,7
2017-07-02,MRK,3,5,1,17,4
2017-07-01,MRK,-3,1,-5,5,1
2017-06-30,MRK,-2,3,-5,8,1
2017-06-29,MRK,-4,-2,-5,12,2
2017-06-28,MRK,-4,-1,-5,50,10
2017-06-27,MRK,-4,-1,-5,32,10
2017-06-26,MRK,-5,-5,-5,1,5
2017-06-25,MRK,1,2,-2,4,6
2017-06-24,MRK,-1,4,-5,5,5
2017-06-23,MRK,2,5,-2,12,7
2017-06-22,MRK,-1,3,-5,11,7
2017-06-21,MRK,-2,2,-5,10,7
2017-06-20,MRK,1,5,-4,9,9
2017-06-19,MRK,3,5,-1,4,6
2017-06-18,MRK,0,0,0,0,0
2017-06-17,MRK,-3,-3,-3,2,2
2017-06-16,MRK,0,0,0,0,0
2017-06-15,MRK,1,4,-3,3,0
2017-06-14,MRK,-2,2,-5,3,0
2017-06-13,MRK,-3,1,-5,13,4
2017-06-12,MRK,1,5,-5,7,4
2017-06-11,MRK,0,0,0,0,0
2017-06-10,MRK,2,3,-1,6,2
2017-06-09,MRK,-2,-1,-4,3,0
2017-06-08,MRK,-5,-5,-5,2,0
2017-06-07,MRK,-3,-1,-4,5,1
2017-06-06,MRK,1,5,-3,12,3
2017-06-05,MRK,3,5,1,6,4
2017-06-04,MRK,-3,1,-5,3,3
2017-06-03,MRK,2,5,-2,6,3
2017-06-02,MRK,-2,2,-5,8,2
2017-06-01,MRK,-3,-3,-3,2,0
2017-05-31,MRK,-1,4,-5,7,1
2017-05-30,MRK,-3,1,-5,7,1
2017-05-29,MRK,-1,5,-5,4,1
2017-05-28,MRK,-5,-5,-5,1,1
2017-05-27,MRK,-2,3,-5,5,1
2017-05-26,MRK,-1,5,-5,4,0
2017-05-25,MRK,3,5,1,6,1
2017-05-24,MRK,3,5,-1,10,1
2017-05-23,MRK,-2,3,-5,7,1
2017-05-22,MRK,2,5,-2,6,1
2017-05-21,MRK,3,3,3,1,1
2017-05-20,MRK,2,5,-3,3,1
2017-05-19,MRK,1,5,-4,9,1
2017-05-18,MRK,-1,3,-4,27,5
2017-05-17,MRK,2,5,-2,7,1
2017-05-16,MRK,2,5,-2,7,1
2017-05-15,MRK,-4,-1,-5,10,4
2017-05-14,MRK,0,0,0,0,0
2017-05-13,MRK,-3,1,-5,15,3
2017-05-12,MRK,-1,4,-4,6,1
2017-05-11,MRK,-1,4,-5,14,2
2017-05-10,MRK,1,5,-5,4,0
2017-05-09,MRK,3,5,1,4,0
2017-05-08,MRK,-1,4,-5,4,1
2017-05-07,MRK,1,1,-1,2,0
2017-05-06,MRK,5,5,5,1,0
2017-05-05,MRK,-2,3,-5,6,1
2017-05-04,MRK,4,5,2,27,5
2017-05-03,MRK,-1,4,-5,14,2
2017-05-02,MRK,3,5,-1,53,10
2017-05-01,MRK,3,5,-1,6,10
2017-04-30,MRK,3,5,-1,14,8
2017-04-29,MRK,5,5,5,1,0
2017-04-28,MRK,0,0,0,0,0
2017-04-27,MRK,-5,-5,-5,2,1
2017-04-26,MRK,-2,-2,-2,3,1
2017-04-25,MRK,1,5,-4,12,6
2017-04-24,MRK,1,3,-3,12,10
2017-04-23,MRK,-3,1,-5,5,8
2017-04-22,MRK,1,4,-4,13,9
2017-04-21,MRK,-2,3,-5,8,4
2017-04-20,MRK,4,5,1,10,5
2017-04-19,MRK,-2,2,-5,14,7
2017-04-18,MRK,-4,-2,-5,5,2
2017-04-17,MRK,-4,-1,-5,7,6
2017-04-16,MRK,0,0,0,0,0
2017-04-15,MRK,2,5,-3,9,5
2017-04-14,MRK,1,2,-1,6,3
2017-04-13,MRK,-1,3,-4,3,1
2017-04-12,MRK,-2,2,-4,5,2
2017-04-11,MRK,4,4,4,5,2
2017-04-10,MRK,-4,-1,-5,7,6
2017-04-09,MRK,-2,-2,-2,1,3
2017-04-08,MRK,-3,-2,-4,2,3
2017-04-07,MRK,-2,2,-5,14,7
2017-04-06,MRK,0,0,0,0,0
2017-04-05,MRK,2,2,2,1,0
2017-04-04,MRK,-2,3,-5,5,1
2017-04-03,MRK,-1,2,-4,4,4
2017-04-02,MRK,3,5,1,6,4
2017-04-01,MRK,3,3,3,1,1
2017-03-31,MRK,2,5,-4,8,2
2017-03-30,MRK,3,5,-1,3,1
2017-03-29,MRK,3,5,1,12,4
2017-03-28,MRK,-5,-5,-5,3,1
2017-03-27,MRK,1,5,-4,10,4
2017-03-26,MRK,-1,1,-2,2,0
2017-03-25,MRK,0,0,0,0,0
2017-03-24,MRK,1,5,-4,21,7
2017-03-23,MRK,-3,1,-5,5,1
2017-03-22,MRK,5,5,5,5,1
2017-03-21,MRK,2,5,-4,6,2
2017-03-20,MRK,2,5,-2,5,2
2017-03-19,MRK,-2,-2,-2,2,2
