date,time,title,abstract
2014-03-17,5:05 AM,Alibaba picks U.S. for IPO; in talks with six banks for lead roles,"HONG KONG Chinese e-commerce giant Alibaba Group Holding Ltd has decided to hold its long-awaited IPO in the United States and is in discussions with six banks to underwrite the deal, in what is set to the most high-profile public offering since Facebook Inc's listing nearly two years ago. | Video"
2014-03-17,5:40 AM,"RPT-As giant U.S. IPO nears, Alibaba's China e-commerce crown slips",* Share of China online retail fell for first time in 2013
2014-03-18,9:35 AM,Alibaba to hold U.S. IPO kick off meeting on March 25,"HONG KONG Chinese e-commerce giant Alibaba Group Holding Ltd will hold the kickoff meeting for its planned U.S. initial public offering on March 25, setting in motion the most high-profile listing since Facebook Inc's offering nearly two years ago, sources familiar with the plans said on Tuesday."
2014-03-18,9:30 AM,Alibaba to hold US IPO kick off meeting on March 25 - sources,"HONG KONG, March 18 Chinese e-commerce giant Alibaba Group Holding Ltd will hold the kickoff meeting for its planned U.S. initial public offering on March 25, setting in motion the most high-profile listing since Facebook Inc's offering nearly two years ago, sources familiar with the plans said on Tuesday."
2014-03-18,6:05 AM,RPT-Market Chatter- Corporate finance press digest,March 18 The following corporate finance-related stories were reported by media on Tuesday:
2014-03-18,4:26 AM,Market Chatter- Corporate finance press digest,March 18 The following corporate finance-related stories were reported by media on Tuesday:
2014-03-18,12:50 AM,"As email threats multiply, funds pick up Proofpoint","NEW YORK The last time email could be called a sexy business, Facebook founder Mark Zuckerberg was celebrating his tenth birthday. Yet Proofpoint Inc, a $1.6 billion market cap email security company, is catching the eye of fund managers by gaining share in a market that many investors have left for dead."
2014-03-19,1:55 PM,"UPDATE 1-Alibaba's choice of U.S. IPO spurred by rivals, Hong Kong impasse -sources",* Tech giant only gave up hope of HK IPO recently -sources
2014-03-19,11:06 AM,"Alibaba's choice of U.S. IPO spurred by rivals, Hong Kong impasse -sources",* Tech giant only gave up hope of HK IPO recently -sources
2014-03-20,4:05 AM,Alibaba invests $280 million in messaging app Tango,"SAN FRANCISCO Tango, the mobile messaging app-maker, announced Wednesday it has raised $280 million in a new funding round led by Chinese e-commerce giant Alibaba Group Holding Ltd."
2014-03-21,5:29 PM,"Obama to meet with U.S. tech executives on privacy, surveillance","WASHINGTON/SAN FRANCISCO Executives of several large U.S. Internet companies, including Google Inc and Facebook Inc, were to meet with President Barack Obama on Friday to discuss changes to government surveillance programs."
2014-03-21,7:51 PM,"UPDATE 1-Obama to meet with U.S. tech executives on privacy, surveillance","(Adds White House list of attendees, March 28 deadline; paragraphs 3, 6-7)"
2014-03-21,5:20 PM,"Obama to meet with U.S. tech executives on privacy, surveillance","WASHINGTON, March 21 Executives of several large U.S. Internet companies, including Google Inc and Facebook Inc, will meet with President Barack Obama on Friday to discuss changes to government surveillance programs."
2014-03-22,12:10 AM,"Obama meets with U.S. tech executives on privacy, surveillance","WASHINGTON/SAN FRANCISCO Executives of several large U.S. Internet companies, including Facebook Inc and Google Inc, met with President Barack Obama on Friday to discuss their concerns over government surveillance programs."
2014-03-22,12:10 AM,"CORRECTED-UPDATE 2-Obama meets with U.S. tech executives on privacy, surveillance","(Corrects verb tense to ""met"" in second paragraph from ""meet"")"
2014-03-24,8:26 PM,UPDATE 1-How Facebook avoided Google's fate in talent poaching lawsuit,"(Adds Facebook declined to comment, additional background)"
2014-03-24,6:55 PM,How Facebook avoided costly suits over hiring from rivals,"SAN FRANCISCO, March 24 Facebook Inc has emerged as one of the biggest Silicon Valley players not to have agreed with other technology companies to avoid poaching each other's employees, saving the social-networking giant years of costly litigation."
2014-03-25,10:47 PM,BRIEF-Facebook CEO says that as of last week more than 1 billion people activley using facebook's Mobile apps,March 25 Facebook Inc :  * CEO says that as of last week more than 1 billion people activley using
2014-03-25,9:45 PM,Facebook to buy virtual reality goggles maker for $2 billion,"SAN FRANCISCO Facebook Inc will acquire two-year-old Oculus VR Inc, a maker of virtual-reality glasses for gaming, for $2 billion, buying its way into the fast-growing wearable devices arena with its first-ever hardware deal."
2014-03-25,10:11 PM,UPDATE 2-Facebook to buy virtual reality goggles maker for $2 bln,"SAN FRANCISCO, March 25 Facebook Inc will acquire two-year-old Oculus VR Inc, a maker of  virtual-reality glasses for gaming, for $2 billion, buying its way into the fast-growing wearable devices arena with its first-ever hardware deal."
2014-03-25,9:42 PM,Facebook to buy virtual reality headset maker for $2 bln,
2014-03-26,9:56 PM,"US STOCKS-Wall St drops on Russia worry as techs, materials drag",* Facebook to buy Oculus for $2 billion; shares fall nearly 7 pct
2014-03-26,9:02 PM,REFILE-US STOCKS-Russia sanctions worry hits Wall St; techs weigh,* Facebook buys Oculus for $2 billion; shares fall nearly 7 pct
2014-03-26,8:10 PM,Facebook takes page out of Google playbook with Oculus deal,SAN FRANCISCO Does Facebook Inc have Google envy?
2014-03-26,8:05 PM,Facebook takes page out of Google playbook with Oculus deal,"SAN FRANCISCO, March 26 Does Facebook Inc  have Google envy?"
2014-03-26,10:06 AM,Deals of the day- Mergers and acquisitions,"March 26 The following bids, mergers, acquisitions and disposals were reported by 2000 GMT on Wednesday:"
2014-03-26,6:40 PM,"US STOCKS-Wall St lower in volatile trading; tech, materials down",* Dow off 0.36 pct; S&P off 0.38 pct; Nasdaq off 0.96 pct   (Updates to afternoon trade)
2014-03-26,12:48 AM,Facebook to buy virtual reality goggles maker for $2 billion,"SAN FRANCISCO Facebook Inc will acquire two-year-old Oculus VR Inc, a maker of virtual-reality glasses for gaming, for $2 billion, buying its way into the fast-growing wearable devices arena with its first-ever hardware deal. | Video"
2014-03-26,4:50 PM,"US STOCKS-Dow, S&P 500 rise as Ukraine tensions ebb; US data helps",* Dow up 0.2 pct; S&P 500 up 0.2 pct; Nasdaq off 0.2 pct   (Updates to midday)
2014-03-26,2:35 PM,"US STOCKS-Wall Street gains on data, easing of Ukraine tensions","* Dow, S&P 500 and Nasdaq all rise 0.4 pct   (Updates to open)"
2014-03-26,1:00 PM,US STOCKS-Futures point to higher open as Ukraine tensions ease,"* Facebook buys Oculus for $2 bln, shares up in premarket"
2014-03-27,9:30 PM,"Facebook to use satellites, drones to spread the Internet","SAN FRANCISCO Facebook Inc is harnessing satellite, drone and other technology as part of an ambitious and costly effort to beam Internet connectivity to people in underdeveloped parts of the world."
2014-03-27,10:25 PM,"UPDATE 1-Facebook to use satellites, drones to spread the Internet","(Adds details on drones, satellites, hiring, background on Facebook and Google projects, stock price)"
2014-03-27,10:00 PM,Andreessen Horowitz closes new fund after raising $1.5 bln,"SAN FRANCISCO, March 27 Andreessen Horowitz, a venture capital firm that has backed Facebook and Twitter, raised $1.5 billion for a its fourth fund, the firm said in a blog post."
2014-03-27,6:35 AM,"European Factors to Watch-Shares to track U.S. dip, tech stocks in focus","PARIS, March 27 European stocks were set to dip on Thursday, halting their recovery rally and mirroring losses on Wall Street, where technology stocks such as Facebook and King Digital Entertainment Plc  sank.     At 0725 GMT, futures for Euro STOXX 50, for UK's FTSE 100, for Germany's DAX and for France's CAC were down by between 0.1-0.3 percent.     Among U.S. technology shares taking a hit on Wednesday, Facebook tumbled 6.9 percent after the social networking company said it would"
2014-03-27,1:00 AM,Judge tosses lawsuit against Facebook over use of minors' photos,NEW YORK A California federal judge has dismissed a proposed class action lawsuit against Facebook Inc that had accused the company of misappropriating the names and likenesses of minors who use the social network.
2014-03-27,12:56 AM,Judge tosses lawsuit against Facebook over use of minors' photos,"NEW YORK, March 26 A California federal judge has dismissed a proposed class action lawsuit against Facebook Inc that had accused the company of misappropriating the names and likenesses of minors who use the social network."
2014-03-27,12:35 AM,SINGAPORE PRESS-Facebook co-founder backs Singapore start-up - Straits Times,Facebook Inc co-founder and billionaire investor Eduardo Saverin has invested in Singapore start-up Nitrous.IO.
2014-03-31,12:00 PM,UPDATE 1-Cisco rival Arista Networks files for IPO,"* Arista led by ex-Cisco exec Jayashree Ullal, also top shareholder"
2014-04-02,5:31 PM,"UPDATE 1-Apple, Facebook, Google Web data centers getting greener -report","SAN FRANCISCO, April 2 Apple Inc, Google Inc and Facebook Inc have made significant progress in adopting renewable energy sources to power their Web services, the environmental group Greenpeace said in a report on Wednesday."
2014-04-02,2:30 PM,"Apple, Facebook, Google Internet data centers getting greener, report finds","SAN FRANCISCO, April 2 Apple Inc, Google Inc and Facebook Inc have made significant progress in adopting renewable energy sources to power their Web services, the environmental group Greenpeace said in a report on Wednesday."
2014-04-03,6:35 PM,"US STOCKS-Wall St slips as biotech, momentum stocks lead decline",* Dow off 0.2 pct; S&P 500 off 0.2 pct; Nasdaq down 1.1 pct   (Updates to afternoon)
2014-04-03,4:25 PM,Head of Russian social network VK withdraws resignation,"MOSCOW The founder of Russia's biggest social networking site VKontakte withdrew his resignation on Thursday, just two days after announcing he was giving up the chief executive post, saying his departure would have threatened the company's future."
2014-04-03,4:26 PM,Head of Russian social network VK withdraws resignation,"MOSCOW, April 3 The founder of Russia's biggest social networking site VKontakte withdrew his resignation on Thursday, just two days after announcing he was giving up the chief executive post, saying his departure would have threatened the company's future."
2014-04-03,10:36 AM,"CORRECTED-EU Parliament votes to end roaming fees by 2016, protect ""net neutrality""","(Corrects story to show vote took place in Brussels, not Strasbourg)"
2014-04-04,8:43 PM,Internet companies' growing ambitions spook 51 percent of Americans: Reuters/Ipsos poll,"SAN FRANCISCO The personal data gathering abilities of Google, Facebook and other tech companies has sparked growing unease among Americans, with a majority worried that Internet companies are encroaching too much upon their lives, a new poll showed."
2014-04-04,8:37 PM,REFILE-Internet companies' growing ambitions spook 51 pct of Americans,"SAN FRANCISCO, April 4 The personal data gathering abilities of Google, Facebook and other tech companies has sparked growing unease among Americans, with a majority worried that Internet companies are encroaching too much upon their lives, a new poll showed."
2014-04-05,1:05 AM,Wall St Week Ahead-Momentum names may see more pain,"NEW YORK, April 4 After their worst week in several years, high-flying stocks that defied gravity throughout 2013 look like they're in for more punishment. The reason: Despite the plunge, they still look overvalued."
2014-04-07,2:50 PM,Lawsuits deepen shareholder row over 'Russia's Facebook',"MOSCOW A dispute between shareholders in Russia's biggest social network escalated on Monday, as the rivals took legal action to assert their influence over a business that has been used as a platform for opposition groups."
2014-04-07,2:45 PM,Lawsuits deepen shareholder row over 'Russia's Facebook',"MOSCOW, April 7 A dispute between shareholders in Russia's biggest social network escalated on Monday, as the rivals took legal action to assert their influence over a business that has been used as a platform for opposition groups."
2014-04-07,11:00 AM,RPT-Internet companies' growing ambitions spook 51 pct of Americans,"SAN FRANCISCO, April 7 The personal data gathering abilities of Google, Facebook and other tech companies has sparked growing unease among Americans, with a majority worried that Internet companies are encroaching too much upon their lives, a new poll showed."
2014-04-08,10:27 PM,"U.S. stock market may have stumbled, but signals still say 'go'","The last six weeks have been rough for investors who jumped into 2013's big stock market winners like Netflix and Facebook, only to see their share prices crater."
2014-04-09,11:38 PM,Facebook to require separate mobile app for messages,"SAN FRANCISCO Facebook Inc will no longer let users send and receive private messages within its main smartphone app, and will require that users install a separate messaging app, the Internet company said on Wednesday."
2014-04-09,11:35 PM,Facebook to require separate mobile app for messages,"SAN FRANCISCO, April 9 Facebook Inc will no longer let users send and receive private messages within its main smartphone app, and will require that users install a separate messaging app, the Internet company said on Wednesday."
2014-04-14,1:40 PM,Facebook plans to provide mobile payment services: FT,"Facebook Inc is preparing to join the mobile-payments race with remittances and electronic-money services on the social network, the Financial Times reported on Sunday, citing several people involved in the process."
2014-04-14,8:06 PM,UPDATE 1-Facebook plans to provide mobile payment services -FT,"April 14 Facebook Inc is preparing to join the mobile-payments race with remittances and electronic-money services on the social network, the Financial Times reported on Sunday, citing several people involved in the process."
2014-04-14,6:36 PM,CORRECTED-Google to buy drone-maker Titan Aerospace,(Corrects reference to Facebook acquisition talks in third paragraph to show it was based on Media reports in March from Facebook saying in March)
2014-04-14,1:35 PM,Facebook plans to provide mobile payment services - FT,"April 14 Facebook Inc is preparing to join the mobile-payments race with remittances and electronic-money services on the social network, the Financial Times reported on Sunday, citing several people involved in the process."
2014-04-16,11:35 AM,Teenager uses Facebook to save Romania's stray dogs,"BUCHAREST When French film actress Brigitte Bardot began a campaign to spare the thousands of stray dogs in Romania's capital from being put down, she did it with a $150,000 donation scheme."
2014-04-16,11:27 AM,Teenager uses Facebook to save Romania's stray dogs,"BUCHAREST, April 16 When French film actress Brigitte Bardot began a campaign to spare the thousands of stray dogs in Romania's capital from being put down, she did it with a $150,000 donation scheme."
2014-04-16,4:56 AM,China e-commerce giant Alibaba seen filing for U.S. IPO next week: sources,"HONG KONG Chinese e-commerce giant Alibaba Group Holding Ltd. is expected to file the prospectus for its U.S. initial public offering next week, sources said on Wednesday, moving closer to what could be the biggest-ever listing by a technology firm."
2014-04-16,4:50 AM,China e-commerce giant Alibaba seen filing for US IPO next week-sources,"HONG KONG, April 16 Chinese e-commerce giant Alibaba Group Holding Ltd. is expected to file the prospectus for its U.S. initial public offering next week, sources said on Wednesday, moving closer to what could be the biggest-ever listing by a technology firm."
2014-04-17,2:01 PM,UPDATE 1-AFRICA INVESTMENT-Africa's hunger for data sends satellites into orbit,"(Adds more background including references to Google, Facebook)"
2014-04-17,11:22 PM,Wall Street Week Ahead: Spring fever brings hope for U.S. earnings,"NEW YORK Earnings season shifts into high gear next week, and with nearly one-third of S&P 500 names set to post results, investors hope the news provides a catalyst to buy stocks and leave the market's recent weakness in the dust."
2014-04-17,11:20 PM,Wall St Week Ahead-Spring fever brings hope for U.S. earnings,"NEW YORK, April 17 Earnings season shifts into high gear next week, and with nearly one-third of S&P 500 names set to post results, investors hope the news provides a catalyst to buy stocks and leave the market's recent weakness in the dust."
2014-04-17,2:31 PM,Fidelity biotech fund among worst performers in April sell-off,BOSTON One of the biotechnology sector's worst two-week declines in the past decade has clobbered one of Fidelity Investments' hottest funds.
2014-04-17,9:00 AM,Billionaire Usmanov remains Russia's richest tycoon: Forbes,"MOSCOW Alisher Usmanov is Russia's richest tycoon for the third year in a row, with wealth of $18.6 billion, after selling his stake in the social media website Facebook, according to the latest report by the U.S. magazine Forbes."
2014-04-17,8:51 AM,Billionaire Usmanov remains Russia's richest tycoon - Forbes,"MOSCOW, April 17 Alisher Usmanov is Russia's richest tycoon for the third year in a row, with wealth of $18.6 billion, after selling his stake in the social media website Facebook, according to the latest report by the U.S. magazine Forbes."
2014-04-21,4:51 PM,EXCLUSIVE-Fidelity's Danoff looks beyond tech stocks as performance lags,"BOSTON, April 21 Will Danoff, who runs Fidelity Investments' behemoth Contrafund, is frustrated by his lagging performance this year and is pruning his exposure to cloud software stocks that got clobbered recently in a swift and hard-hitting downturn."
