,compound,neg,neu,pos,trading_date
106,0.4939,0.039,0.897,0.064,2014-05-01
107,-0.8642,0.15,0.732,0.118,2014-05-02
108,-0.8136,0.266,0.59,0.144,2014-05-03
109,0.4404,0.0,0.927,0.073,2014-05-04
110,0.9559,0.019,0.867,0.114,2014-05-06
111,0.8271,0.015,0.904,0.081,2014-05-07
112,0.0,0.0,1.0,0.0,2014-05-08
113,-0.743,0.121,0.807,0.072,2014-05-09
114,0.5106,0.0,0.871,0.129,2014-05-14
115,-0.7351,0.122,0.793,0.085,2014-05-15
116,0.0,0.0,1.0,0.0,2014-05-29
117,-0.6808,0.128,0.741,0.131,2014-06-02
118,-0.5423,0.089,0.911,0.0,2014-06-07
119,0.8514,0.0,0.907,0.093,2014-06-09
120,-0.4588,0.151,0.785,0.064,2014-06-10
121,0.765,0.0,0.837,0.163,2014-06-11
122,0.25,0.057,0.856,0.087,2014-06-12
123,-0.296,0.073,0.927,0.0,2014-06-13
124,0.765,0.0,0.848,0.152,2014-06-18
125,0.8801,0.0,0.886,0.114,2014-06-30
126,0.4588,0.0,0.88,0.12,2014-07-01
127,0.0,0.0,1.0,0.0,2014-07-11
128,0.0,0.0,1.0,0.0,2014-07-26
129,-0.2023,0.105,0.83,0.066,2014-07-28
130,0.6705,0.0,0.965,0.035,2014-07-29
131,0.0,0.0,1.0,0.0,2014-07-30
132,0.8126,0.0,0.879,0.121,2014-08-14
133,-0.6908,0.084,0.858,0.058,2014-08-25
134,0.8519,0.101,0.704,0.195,2014-08-26
135,0.4767,0.1,0.706,0.194,2014-08-27
136,0.4404,0.0,0.734,0.266,2014-09-02
137,0.7783,0.058,0.814,0.127,2014-09-05
138,-0.8225,0.183,0.817,0.0,2014-09-06
139,0.2362,0.032,0.895,0.073,2014-09-09
140,0.631,0.0,0.922,0.078,2014-09-16
141,0.0,0.0,1.0,0.0,2014-09-17
142,0.5859,0.0,0.87,0.13,2014-09-22
143,0.0516,0.088,0.8,0.112,2014-09-28
144,0.1027,0.11,0.75,0.14,2014-09-29
145,0.7184,0.0,0.818,0.182,2014-10-01
146,0.5106,0.031,0.902,0.066,2014-10-02
147,-0.4528,0.111,0.807,0.082,2014-10-07
148,0.2263,0.0,0.952,0.048,2014-10-15
149,0.34,0.033,0.918,0.049,2014-10-16
150,-0.9761,0.271,0.683,0.046,2014-10-17
151,-0.8126,0.085,0.915,0.0,2014-10-25
152,-0.9777,0.255,0.649,0.096,2014-10-27
153,0.6808,0.0,0.641,0.359,2014-10-30
154,0.4939,0.035,0.866,0.098,2014-11-06
155,0.4939,0.036,0.863,0.1,2014-11-05
156,0.1245,0.019,0.956,0.025,2014-11-10
157,0.9349,0.0,0.872,0.128,2014-11-11
158,-0.9652,0.201,0.735,0.064,2014-11-13
159,-0.5719,0.252,0.748,0.0,2014-11-17
160,-0.9579,0.145,0.812,0.043,2014-11-18
161,0.4404,0.0,0.734,0.266,2014-11-20
162,0.296,0.0,0.957,0.043,2014-11-24
163,0.4215,0.0,0.568,0.432,2014-11-28
164,-0.8047,0.101,0.899,0.0,2014-12-02
165,0.0258,0.0,0.973,0.027,2014-12-06
166,-0.7906,0.152,0.75,0.098,2014-12-07
167,-0.7003,0.103,0.845,0.052,2014-12-08
168,0.9515,0.012,0.893,0.096,2014-12-09
169,0.9042,0.039,0.853,0.109,2014-12-10
170,0.6705,0.0,0.893,0.107,2014-12-11
171,0.0,0.0,1.0,0.0,2014-12-12
172,0.0,0.0,1.0,0.0,2014-12-16
173,0.9153,0.0,0.802,0.198,2014-12-18
174,-0.5106,0.301,0.699,0.0,2014-12-19
175,0.0,0.0,1.0,0.0,2014-12-23
176,-0.7506,0.133,0.806,0.061,2015-01-05
177,-0.5574,0.121,0.795,0.085,2015-01-12
178,-0.4019,0.149,0.692,0.159,2015-01-13
179,-0.1027,0.09,0.852,0.058,2015-01-19
180,0.3818,0.073,0.815,0.112,2015-01-21
181,0.5994,0.0,0.818,0.182,2015-01-23
182,-0.9118,0.192,0.759,0.049,2015-02-02
183,-0.743,0.192,0.759,0.049,2015-02-03
184,-0.4228,0.079,0.867,0.055,2015-02-04
185,0.0,0.0,1.0,0.0,2015-02-05
186,0.2023,0.064,0.864,0.073,2015-02-20
187,0.0,0.0,1.0,0.0,2015-02-25
188,0.4767,0.0,0.96,0.04,2015-03-05
189,-0.3818,0.098,0.8,0.102,2015-03-11
190,0.1531,0.07,0.856,0.074,2015-03-14
191,0.5267,0.0,0.872,0.128,2015-03-20
192,-0.0,0.07,0.86,0.07,2015-04-14
193,0.0,0.0,1.0,0.0,2015-04-18
194,-0.8402,0.1,0.822,0.078,2015-04-19
195,0.0,0.0,1.0,0.0,2015-04-24
196,0.9477,0.039,0.829,0.132,2015-04-28
197,-0.9217,0.09,0.853,0.058,2015-04-29
198,-0.4215,0.147,0.853,0.0,2015-05-14
199,0.7506,0.028,0.921,0.051,2015-05-15
200,0.3818,0.0,0.92,0.08,2015-05-21
201,0.34,0.124,0.676,0.2,2015-05-22
