date,time,title,abstract
2014-04-15,2:46 AM,Vevo widens ties with Yahoo over its music videos,"Yahoo Inc and Vevo, an online music video hub that provides some of the most popular content on Google's YouTube, have expanded their content and regional partnership, Vevo said Monday amid mounting competition for online viewers."
2014-04-15,6:10 PM,Google to buy drone-maker Titan Aerospace,Google Inc has acquired solar-powered drone maker Titan Aerospace as the Web search giant ramps up plans to deliver wireless Internet access to remote parts of the world. | Video
2014-04-16,9:26 AM,"UPDATE 2-RWE's net profit to stabilise at lower level, CEO says",* Enters cooperation with Google's Nest to sell thermostats
2014-04-16,8:17 PM,UPDATE 2-Google Q1 revenue misses Wall Street targets,"SAN FRANCISCO, April 16 Google Inc's   first-quarter revenue fell short of Wall Street targets and margins narrowed as the price of its ads continued to decline, pushing its shares sharply lower."
2014-04-16,8:10 PM,Google first-quarter revenue misses Wall Street targets,"SAN FRANCISCO Google Inc's first-quarter revenue fell short of Wall Street targets and margins narrowed as the price of its ads continued to decline, pushing its shares sharply lower."
2014-04-16,8:51 PM,GLOBAL MARKETS-Shares rally on China growth relief; dollar slips,"* China GDP grows 7.4 pct, slightly ahead of forecasts     * European shares rebound, Wall Street rallies, Yahoo shines     * Oil rises close to $110 on mounting Ukraine tension   (Adds close of U.S. markets, Google, IBM results)     By Herbert Lash     NEW YORK, April 16 Global equity markets advanced broadly on Wednesday after China reported growth that beat expectations, providing relief to investors worried about the Chinese economy, while the dollar eased on the growing view the"
2014-04-17,2:31 PM,Fidelity biotech fund among worst performers in April sell-off,BOSTON One of the biotechnology sector's worst two-week declines in the past decade has clobbered one of Fidelity Investments' hottest funds.
2014-04-17,12:03 PM,"Google still a top pick for Wall Street, despite mobile ad challenges",Google Inc's disappointing first-quarter results left Wall Street unfazed about the internet giant's ability to come to grips with the shift to the fast-growing mobile advertising market.
2014-04-17,3:10 PM,REFILE-US STOCKS-Wall St little changed amid earnings flurry,"(Replaces extraneous word ""market"" for ""most"" in quote in 6th paragraph )"
2014-04-17,5:40 PM,US STOCKS-Wall St edges higher during earnings flurry,* Jobless claims rise less than expected; Philly Fed jumps
2014-04-17,9:00 PM,"US STOCKS-Earnings lift S&P 500, Nasdaq; S&P's best week since July",* S&P 500 scores biggest weekly percentage gain since July
2014-04-17,12:02 PM,"Earnings lift S&P 500, Nasdaq; S&P's best week since July","NEW YORK Stocks ended a holiday-shortened week with mostly modest gains on Thursday, though the S&P 500 notched its biggest weekly advance since July as Morgan Stanley and General Electric rallied after strong results. | Video"
2014-04-17,10:31 PM,Patent lawsuit against Google to be fought in California -ruling,"SAN FRANCISCO, April 17 A federal judge in California on Thursday rejected a request by patent consortium Rockstar to transfer patent litigation against Google Inc  to Texas, according to a court ruling."
