,compound,neg,neu,pos,trading_date
121,-0.9545,0.193,0.807,0.0,2014-10-31
122,0.2183,0.118,0.711,0.171,2014-11-04
123,0.7964,0.0,0.74,0.26,2014-11-07
124,0.7964,0.0,0.74,0.26,2014-11-06
125,0.1531,0.0,0.951,0.049,2014-11-11
126,0.0,0.0,1.0,0.0,2014-11-10
127,0.6124,0.0,0.889,0.111,2014-11-13
128,0.0258,0.0,0.989,0.011,2014-11-18
129,0.4215,0.0,0.967,0.033,2014-11-17
130,-0.9062,0.227,0.773,0.0,2014-11-21
131,-0.8126,0.123,0.843,0.034,2014-11-26
132,-0.3818,0.21,0.609,0.181,2014-12-08
133,-0.7823,0.199,0.723,0.078,2014-12-10
134,0.6808,0.0,0.887,0.113,2014-12-11
135,-0.4215,0.091,0.909,0.0,2014-12-13
136,0.0,0.0,1.0,0.0,2014-12-17
137,-0.9538,0.193,0.807,0.0,2014-12-25
138,0.2023,0.0,0.915,0.085,2015-01-06
139,0.4019,0.0,0.92,0.08,2015-01-07
140,0.25,0.095,0.788,0.117,2015-01-09
141,0.1406,0.0,0.956,0.044,2015-01-12
142,-0.4939,0.139,0.783,0.078,2015-01-14
143,0.836,0.0,0.879,0.121,2015-01-15
144,0.0,0.0,1.0,0.0,2015-01-18
145,0.5859,0.091,0.758,0.152,2015-01-22
146,0.5352,0.049,0.883,0.069,2015-01-27
147,-0.886,0.254,0.717,0.028,2015-01-26
148,0.0,0.0,1.0,0.0,2015-01-28
149,0.891,0.015,0.919,0.066,2015-01-29
150,0.9118,0.0,0.883,0.117,2015-02-10
151,0.9042,0.015,0.875,0.11,2015-02-18
152,0.926,0.044,0.734,0.221,2015-02-23
153,0.8402,0.0,0.821,0.179,2015-02-24
154,0.875,0.068,0.772,0.16,2015-03-03
155,0.9183,0.0,0.793,0.207,2015-03-02
156,0.5574,0.0,0.917,0.083,2015-03-05
157,-0.7506,0.159,0.841,0.0,2015-03-11
158,-0.8689,0.104,0.896,0.0,2015-03-10
159,-0.9571,0.093,0.907,0.0,2015-03-12
160,0.4592,0.109,0.706,0.185,2015-03-16
