,compound,neg,neu,pos,trading_date
121,0.9421,0.031,0.881,0.088,2013-06-11
122,0.8169,0.016,0.9,0.083,2013-06-12
123,0.9519,0.034,0.83,0.135,2013-06-13
124,0.3818,0.039,0.91,0.05,2013-06-14
125,0.0,0.0,1.0,0.0,2013-06-15
126,-0.4145,0.056,0.892,0.052,2013-06-16
127,0.8826,0.041,0.892,0.067,2013-06-17
128,0.3612,0.031,0.906,0.063,2013-06-18
129,0.9728,0.021,0.892,0.087,2013-06-19
130,0.7717,0.0,0.857,0.143,2013-06-20
131,0.0,0.0,1.0,0.0,2013-06-21
132,0.8316,0.106,0.497,0.397,2013-06-25
133,0.6705,0.0,0.904,0.096,2013-06-26
134,0.0,0.0,1.0,0.0,2013-06-27
135,0.0,0.0,1.0,0.0,2013-07-01
136,0.802,0.0,0.796,0.204,2013-07-02
137,-0.8159,0.196,0.804,0.0,2013-07-04
138,-0.9576,0.244,0.756,0.0,2013-07-05
139,-0.8807,0.183,0.734,0.083,2013-07-06
140,-0.9945,0.123,0.851,0.026,2013-07-07
141,-0.7184,0.052,0.912,0.036,2013-07-08
142,-0.5859,0.055,0.945,0.0,2013-07-09
143,0.0,0.0,1.0,0.0,2013-07-10
144,0.4215,0.0,0.909,0.091,2013-07-11
145,-0.9969,0.119,0.857,0.024,2013-07-13
146,0.876,0.043,0.716,0.241,2013-07-14
147,-0.6327,0.124,0.77,0.105,2013-07-15
148,-0.9899,0.111,0.873,0.016,2013-07-16
149,0.4404,0.0,0.9,0.1,2013-07-17
150,-0.7427,0.122,0.766,0.112,2013-07-18
151,0.9892,0.054,0.827,0.119,2013-07-19
152,-0.9835,0.164,0.798,0.039,2013-07-20
153,0.0,0.0,1.0,0.0,2013-07-22
154,-0.7003,0.118,0.814,0.068,2013-07-24
155,0.0772,0.034,0.916,0.05,2013-07-25
156,-0.9536,0.112,0.858,0.029,2013-07-26
157,-0.9705,0.123,0.869,0.008,2013-07-27
158,-0.9393,0.119,0.865,0.016,2013-07-29
159,0.1779,0.039,0.913,0.048,2013-07-30
160,0.1027,0.0,0.833,0.167,2013-07-31
161,0.9889,0.0,0.819,0.181,2013-08-01
162,0.2732,0.0,0.84,0.16,2013-08-02
163,-0.5267,0.134,0.791,0.075,2013-08-04
164,0.0772,0.04,0.906,0.054,2013-08-06
165,-0.6798,0.155,0.757,0.088,2013-08-07
166,0.0,0.0,1.0,0.0,2013-08-15
167,0.3182,0.0,0.944,0.056,2013-08-16
168,0.5859,0.091,0.738,0.171,2013-08-17
169,0.91,0.0,0.898,0.102,2013-08-19
170,0.8126,0.0,0.875,0.125,2013-08-23
171,0.6705,0.0,0.864,0.136,2013-08-27
172,0.8591,0.0,0.81,0.19,2013-08-29
173,0.9001,0.012,0.888,0.101,2013-09-03
174,0.9946,0.024,0.805,0.171,2013-09-04
175,-0.6486,0.086,0.874,0.04,2013-09-05
176,-0.9607,0.134,0.842,0.024,2013-09-09
177,0.5456,0.05,0.853,0.096,2013-09-12
178,0.5647,0.036,0.903,0.06,2013-09-13
179,0.4588,0.0,0.935,0.065,2013-09-14
180,0.9628,0.021,0.878,0.101,2013-09-16
181,-0.765,0.058,0.915,0.027,2013-09-17
182,0.774,0.017,0.923,0.059,2013-09-18
183,0.0178,0.038,0.921,0.041,2013-09-19
184,-0.34,0.043,0.934,0.023,2013-09-21
185,-0.8316,0.172,0.792,0.036,2013-09-23
186,0.908,0.066,0.776,0.159,2013-09-24
187,0.7224,0.047,0.88,0.074,2013-09-25
188,-0.9237,0.122,0.797,0.081,2013-09-26
189,-0.9761,0.103,0.88,0.017,2013-09-27
190,0.4939,0.028,0.917,0.056,2013-09-28
191,-0.6874,0.111,0.841,0.048,2013-09-30
192,0.6269,0.0,0.953,0.047,2013-10-01
193,-0.9567,0.154,0.771,0.075,2013-10-02
194,0.5423,0.045,0.887,0.068,2013-10-03
195,0.6705,0.0,0.949,0.051,2013-10-07
196,0.7783,0.029,0.846,0.126,2013-10-08
197,-0.7469,0.064,0.882,0.053,2013-10-09
198,-0.743,0.093,0.848,0.058,2013-10-10
199,0.1461,0.051,0.895,0.054,2013-10-11
200,0.4215,0.073,0.764,0.162,2013-10-12
201,0.8555,0.0,0.915,0.085,2013-10-15
202,-0.8413,0.091,0.88,0.028,2013-10-16
203,-0.7783,0.092,0.888,0.02,2013-10-17
204,0.8942,0.0,0.885,0.115,2013-10-18
205,-0.128,0.024,0.976,0.0,2013-10-19
206,0.0258,0.0,0.976,0.024,2013-10-21
207,0.296,0.105,0.764,0.131,2013-10-22
208,0.8847,0.041,0.797,0.162,2013-10-23
209,0.7615,0.036,0.869,0.095,2013-10-24
210,-0.196,0.041,0.922,0.036,2013-10-25
211,0.0,0.0,1.0,0.0,2013-10-26
212,-0.2263,0.016,0.984,0.0,2013-10-29
213,-0.4215,0.049,0.951,0.0,2013-10-30
214,0.875,0.007,0.938,0.055,2013-10-31
215,0.8934,0.038,0.835,0.127,2013-11-01
216,0.34,0.083,0.796,0.12,2013-11-02
217,0.25,0.0,0.95,0.05,2013-11-04
218,0.6124,0.0,0.957,0.043,2013-11-05
219,0.886,0.0,0.948,0.052,2013-11-06
220,0.6486,0.0,0.878,0.122,2013-11-07
221,0.9726,0.0,0.91,0.09,2013-11-08
222,0.8625,0.0,0.935,0.065,2013-11-09
223,-0.6597,0.033,0.945,0.022,2013-11-10
224,0.4939,0.0,0.939,0.061,2013-11-11
225,-0.6428,0.097,0.811,0.092,2013-11-12
226,-0.1027,0.074,0.854,0.072,2013-11-13
227,0.8176,0.039,0.9,0.061,2013-11-14
228,0.2732,0.042,0.907,0.051,2013-11-15
229,-0.8126,0.08,0.92,0.0,2013-11-16
230,-0.296,0.046,0.905,0.049,2013-11-17
231,-0.8074,0.112,0.797,0.091,2013-11-18
232,0.9403,0.013,0.922,0.065,2013-11-19
233,0.81,0.029,0.893,0.078,2013-11-20
234,-0.1531,0.034,0.929,0.037,2013-11-21
235,0.9699,0.025,0.857,0.117,2013-11-22
236,-0.9001,0.107,0.893,0.0,2013-11-23
237,-0.7184,0.07,0.93,0.0,2013-11-24
238,0.5849,0.035,0.892,0.073,2013-11-26
239,-0.9485,0.123,0.866,0.011,2013-11-27
240,0.0,0.0,1.0,0.0,2013-12-02
241,0.3182,0.0,0.931,0.069,2013-12-03
242,0.9584,0.032,0.793,0.175,2013-12-04
243,0.3919,0.0,0.946,0.054,2013-12-05
244,0.9938,0.0,0.849,0.151,2013-12-06
245,0.9022,0.0,0.911,0.089,2013-12-07
246,0.6597,0.0,0.748,0.252,2013-12-09
247,0.9406,0.031,0.886,0.083,2013-12-10
248,0.6597,0.0,0.963,0.037,2013-12-11
249,0.8225,0.0,0.949,0.051,2013-12-12
250,-0.7845,0.08,0.864,0.056,2013-12-13
251,-0.5994,0.032,0.955,0.013,2013-12-14
252,0.8225,0.076,0.714,0.21,2013-12-16
253,0.9895,0.0,0.845,0.155,2013-12-17
