,compound,neg,neu,pos,trading_date
122,-0.873,0.195,0.805,0.0,2014-10-13
123,0.8271,0.0,0.907,0.093,2014-10-15
124,0.5574,0.062,0.85,0.088,2014-10-16
125,0.9081,0.048,0.768,0.184,2014-10-17
126,0.0,0.0,1.0,0.0,2014-10-21
127,0.9186,0.0,0.839,0.161,2014-10-22
128,0.995,0.069,0.745,0.186,2014-10-24
129,-0.3818,0.063,0.895,0.041,2014-10-25
130,0.6486,0.0,0.892,0.108,2014-10-28
131,0.0772,0.075,0.858,0.066,2014-10-27
132,0.0772,0.0,0.92,0.08,2014-10-29
133,0.2023,0.0,0.948,0.052,2014-11-04
134,0.7184,0.058,0.811,0.131,2014-11-03
135,0.7572,0.034,0.783,0.183,2014-11-05
136,0.3612,0.023,0.922,0.056,2014-11-06
137,0.8385,0.033,0.766,0.2,2014-11-07
138,0.9371,0.0,0.812,0.188,2014-11-08
139,0.8519,0.011,0.934,0.056,2014-11-13
140,0.34,0.11,0.757,0.133,2014-11-14
141,0.34,0.0,0.954,0.046,2014-11-20
142,0.5859,0.047,0.805,0.148,2014-11-19
143,0.0,0.0,1.0,0.0,2014-11-21
144,0.7269,0.0,0.915,0.085,2014-11-26
145,0.3319,0.068,0.801,0.132,2014-11-29
146,0.09,0.017,0.951,0.032,2014-12-02
147,0.4939,0.061,0.853,0.086,2014-12-01
148,0.6369,0.061,0.856,0.082,2014-12-03
149,0.0,0.0,1.0,0.0,2014-12-06
150,0.2023,0.0,0.93,0.07,2014-12-05
151,0.9134,0.018,0.891,0.091,2014-12-09
152,-0.9618,0.249,0.751,0.0,2014-12-08
153,0.9792,0.0,0.778,0.222,2014-12-11
154,-0.6808,0.206,0.688,0.106,2014-12-12
155,-0.9643,0.106,0.858,0.037,2014-12-16
156,0.9074,0.087,0.723,0.19,2014-12-15
157,0.3612,0.124,0.741,0.135,2014-12-17
158,-0.5719,0.128,0.872,0.0,2014-12-18
159,0.25,0.102,0.775,0.122,2014-12-20
160,0.7579,0.064,0.835,0.101,2014-12-19
161,0.7845,0.013,0.934,0.053,2014-12-25
162,0.7845,0.0,0.923,0.077,2014-12-27
163,0.6597,0.0,0.919,0.081,2015-01-07
164,0.9538,0.04,0.796,0.164,2015-01-10
165,0.9931,0.0,0.656,0.344,2015-01-12
166,0.99,0.013,0.791,0.195,2015-01-13
