,compound,neg,neu,pos,trading_date
107,0.5859,0.0,0.911,0.089,2014-10-18
108,0.7948,0.064,0.828,0.108,2014-10-17
109,0.8402,0.0,0.907,0.093,2014-10-30
110,0.8578,0.017,0.92,0.063,2014-11-05
111,0.0,0.0,1.0,0.0,2014-11-06
112,0.9349,0.0,0.733,0.267,2014-11-11
113,0.5216,0.0,0.897,0.103,2014-11-12
114,0.7906,0.017,0.86,0.122,2014-11-13
115,0.0516,0.115,0.786,0.099,2014-11-14
116,-0.4767,0.141,0.807,0.052,2014-11-19
117,0.891,0.0,0.82,0.18,2014-11-20
118,0.3818,0.0,0.924,0.076,2014-11-21
119,0.1531,0.058,0.849,0.093,2014-11-26
120,0.0,0.0,1.0,0.0,2014-11-25
121,0.0,0.0,1.0,0.0,2014-12-02
122,0.6487,0.054,0.85,0.096,2014-12-03
123,0.0688,0.056,0.881,0.064,2014-12-04
124,-0.6369,0.088,0.912,0.0,2014-12-05
125,-0.6705,0.213,0.728,0.059,2014-12-06
126,-0.875,0.219,0.72,0.061,2014-12-07
127,-0.2263,0.075,0.857,0.068,2014-12-17
128,0.7506,0.0,0.893,0.107,2014-12-16
129,0.6124,0.0,0.928,0.072,2014-12-18
130,-0.2023,0.027,0.939,0.034,2014-12-19
131,-0.7906,0.207,0.69,0.103,2014-12-22
132,0.0,0.0,1.0,0.0,2015-01-17
133,-0.565,0.114,0.846,0.04,2015-01-19
134,0.8885,0.0,0.895,0.105,2015-01-21
135,0.6369,0.0,0.92,0.08,2015-01-20
136,0.3182,0.083,0.818,0.098,2015-01-23
137,-0.1779,0.092,0.839,0.069,2015-01-24
138,-0.6597,0.063,0.937,0.0,2015-01-28
139,-0.8402,0.131,0.85,0.018,2015-02-03
140,0.8442,0.0,0.887,0.113,2015-02-12
141,0.0,0.0,1.0,0.0,2015-02-14
142,0.0258,0.0,0.965,0.035,2015-02-18
143,-0.765,0.204,0.752,0.044,2015-02-19
144,-0.4404,0.033,0.955,0.011,2015-02-24
145,0.0,0.0,1.0,0.0,2015-02-23
146,0.0,0.0,1.0,0.0,2015-02-25
147,0.3612,0.048,0.847,0.105,2015-03-05
148,0.4939,0.0,0.863,0.137,2015-03-09
149,0.9653,0.0,0.859,0.141,2015-03-11
150,0.8304,0.033,0.862,0.105,2015-03-12
151,0.6597,0.0,0.94,0.06,2015-03-13
152,0.6597,0.013,0.956,0.032,2015-03-17
153,-0.8807,0.174,0.769,0.056,2015-03-26
154,-0.5267,0.128,0.759,0.113,2015-04-01
155,-0.0516,0.055,0.892,0.053,2015-04-03
156,0.6808,0.0,0.947,0.053,2015-04-10
157,0.0,0.0,1.0,0.0,2015-04-09
158,-0.9517,0.093,0.869,0.039,2015-04-11
159,0.296,0.0,0.913,0.087,2015-04-14
160,0.0,0.0,1.0,0.0,2015-04-13
161,0.8429,0.0,0.82,0.18,2015-04-16
162,0.8271,0.0,0.906,0.094,2015-04-15
163,-0.0258,0.062,0.881,0.056,2015-04-17
164,-0.3818,0.061,0.892,0.047,2015-04-18
165,0.0,0.0,1.0,0.0,2015-04-20
166,0.6124,0.0,0.943,0.057,2015-04-21
167,0.0,0.0,1.0,0.0,2015-04-22
168,0.5719,0.024,0.893,0.083,2015-04-25
169,0.0,0.0,1.0,0.0,2015-05-03
170,0.9022,0.0,0.874,0.126,2015-05-05
171,0.743,0.0,0.936,0.064,2015-05-04
172,0.0,0.0,1.0,0.0,2015-05-06
173,0.0,0.0,1.0,0.0,2015-05-07
174,0.9648,0.0,0.722,0.278,2015-05-09
175,0.93,0.0,0.827,0.173,2015-05-11
176,0.8779,0.037,0.87,0.093,2015-05-12
177,0.0,0.0,1.0,0.0,2015-05-13
178,0.3612,0.0,0.918,0.082,2015-05-16
179,0.5423,0.029,0.916,0.055,2015-05-20
180,0.0,0.0,1.0,0.0,2015-05-19
181,0.6249,0.028,0.879,0.093,2015-05-21
182,0.6124,0.0,0.932,0.068,2015-05-28
183,0.6808,0.0,0.864,0.136,2015-05-27
184,0.0516,0.0,0.97,0.03,2015-05-29
185,0.9001,0.0,0.891,0.109,2015-06-01
186,0.1695,0.0,0.981,0.019,2015-06-04
187,0.3252,0.0,0.958,0.042,2015-06-05
188,0.9201,0.0,0.913,0.087,2015-06-08
189,0.9783,0.05,0.804,0.146,2015-06-11
190,0.8429,0.016,0.897,0.087,2015-06-12
191,-0.34,0.046,0.935,0.019,2015-06-13
192,0.0,0.0,1.0,0.0,2015-06-15
193,-0.3612,0.063,0.894,0.043,2015-06-18
194,0.0,0.0,1.0,0.0,2015-06-17
195,0.802,0.0,0.839,0.161,2015-06-22
196,0.0258,0.05,0.907,0.043,2015-06-26
197,0.1027,0.08,0.833,0.087,2015-06-25
198,0.7783,0.031,0.904,0.065,2015-06-27
199,0.9612,0.012,0.881,0.108,2015-06-29
200,0.4939,0.0,0.923,0.077,2015-07-01
201,0.0772,0.015,0.955,0.03,2015-06-30
202,0.6348,0.1,0.792,0.109,2015-07-02
203,-0.4215,0.107,0.803,0.09,2015-07-03
204,-0.831,0.099,0.901,0.0,2015-07-04
205,0.5267,0.0,0.901,0.099,2015-07-06
206,0.6808,0.09,0.699,0.212,2015-07-07
207,0.0516,0.0,0.97,0.03,2015-07-08
208,0.7146,0.0,0.892,0.108,2015-07-15
209,0.0,0.0,1.0,0.0,2015-07-14
210,0.7783,0.051,0.727,0.222,2015-07-16
211,0.9545,0.029,0.871,0.1,2015-07-17
212,0.9001,0.0,0.833,0.167,2015-07-18
213,0.6369,0.0,0.933,0.067,2015-07-20
214,0.6597,0.0,0.92,0.08,2015-07-22
215,0.0,0.0,1.0,0.0,2015-07-23
216,0.0,0.0,1.0,0.0,2015-07-24
217,0.7506,0.0,0.903,0.097,2015-07-26
218,0.985,0.0,0.836,0.164,2015-07-28
219,0.0516,0.0,0.963,0.037,2015-07-27
220,0.0,0.0,1.0,0.0,2015-07-29
221,-0.4995,0.047,0.953,0.0,2015-07-31
222,-0.2732,0.149,0.851,0.0,2015-07-30
223,0.765,0.0,0.858,0.142,2015-08-01
224,0.0,0.0,1.0,0.0,2015-08-04
225,0.7783,0.0,0.9,0.1,2015-08-05
226,0.8402,0.0,0.811,0.189,2015-08-07
227,0.0,0.0,1.0,0.0,2015-08-06
228,0.6249,0.0,0.939,0.061,2015-08-12
229,0.0,0.0,1.0,0.0,2015-08-14
230,0.9413,0.0,0.857,0.143,2015-08-15
231,-0.3818,0.098,0.819,0.084,2015-08-17
232,-0.9118,0.091,0.909,0.0,2015-08-25
233,0.8481,0.0,0.872,0.128,2015-08-28
234,0.0,0.0,1.0,0.0,2015-09-01
235,0.93,0.0,0.921,0.079,2015-09-04
236,0.9928,0.0,0.802,0.198,2015-09-08
237,0.9432,0.0,0.795,0.205,2015-09-09
238,-0.9517,0.118,0.84,0.042,2015-09-10
239,0.872,0.042,0.884,0.074,2015-09-11
240,0.0,0.0,1.0,0.0,2015-09-12
241,-0.836,0.068,0.904,0.028,2015-09-15
242,0.3612,0.0,0.865,0.135,2015-09-14
243,-0.2023,0.054,0.897,0.049,2015-09-17
244,-0.1613,0.038,0.938,0.024,2015-09-16
245,0.0,0.0,1.0,0.0,2015-09-19
246,-0.1346,0.082,0.843,0.076,2015-09-22
247,-0.0005,0.06,0.879,0.06,2015-09-21
248,0.3818,0.0,0.94,0.06,2015-09-23
249,0.9325,0.036,0.773,0.191,2015-09-24
250,0.4151,0.03,0.927,0.043,2015-09-28
251,0.8402,0.077,0.811,0.112,2015-09-30
252,0.1779,0.0,0.95,0.05,2015-09-29
253,0.0,0.0,1.0,0.0,2015-10-02
254,0.7845,0.011,0.926,0.063,2015-10-05
255,0.4588,0.0,0.932,0.068,2015-10-06
256,0.2732,0.114,0.756,0.13,2015-10-07
257,-0.7824,0.098,0.866,0.036,2015-10-08
258,0.8402,0.0,0.821,0.179,2015-10-10
259,0.8979,0.0,0.855,0.145,2015-10-13
260,0.4215,0.0,0.951,0.049,2015-10-15
261,0.5994,0.0,0.874,0.126,2015-10-14
262,0.6486,0.054,0.868,0.078,2015-10-16
263,0.5574,0.083,0.818,0.099,2015-10-17
264,0.5574,0.0,0.833,0.167,2015-10-19
265,0.3506,0.159,0.671,0.169,2015-10-22
266,-0.5319,0.146,0.804,0.05,2015-10-27
267,0.875,0.0,0.861,0.139,2015-10-29
268,0.1027,0.0,0.958,0.042,2015-10-30
269,-0.25,0.113,0.775,0.113,2015-11-02
270,0.8625,0.0,0.868,0.132,2015-11-06
271,0.8271,0.0,0.877,0.123,2015-11-05
272,0.9914,0.097,0.73,0.173,2015-11-10
273,0.9042,0.0,0.823,0.177,2015-11-14
274,0.0,0.0,1.0,0.0,2015-11-13
275,0.0,0.0,1.0,0.0,2015-11-16
276,-0.6124,0.062,0.938,0.0,2015-11-20
277,-0.1779,0.085,0.851,0.064,2015-11-19
278,0.7506,0.0,0.833,0.167,2015-12-31
279,0.0,0.0,1.0,0.0,2016-01-07
280,-0.4215,0.061,0.898,0.041,2016-01-11
281,0.921,0.061,0.823,0.116,2016-01-14
282,-0.6486,0.05,0.95,0.0,2016-01-13
283,0.9432,0.0,0.89,0.11,2016-01-15
284,-0.8126,0.096,0.904,0.0,2016-01-16
285,-0.7992,0.126,0.818,0.056,2016-01-22
286,0.9231,0.0,0.825,0.175,2016-01-25
287,0.0,0.0,1.0,0.0,2016-01-26
288,-0.5423,0.05,0.933,0.017,2016-01-28
289,0.8316,0.0,0.838,0.162,2016-01-29
290,0.7506,0.0,0.912,0.088,2016-02-01
291,0.1027,0.078,0.78,0.142,2016-02-05
292,0.9042,0.052,0.75,0.198,2016-02-09
293,0.6369,0.0,0.912,0.088,2016-02-16
294,0.5859,0.0,0.873,0.127,2016-02-17
295,0.9638,0.0,0.883,0.117,2016-02-27
296,-0.4939,0.075,0.925,0.0,2016-03-01
297,0.0,0.0,1.0,0.0,2016-03-03
298,0.2422,0.035,0.912,0.053,2016-03-08
299,-0.0516,0.139,0.714,0.146,2016-03-11
300,0.4939,0.0,0.948,0.052,2016-03-13
301,0.3751,0.041,0.862,0.097,2016-03-21
302,0.7184,0.062,0.735,0.204,2016-03-25
303,0.6486,0.027,0.886,0.087,2016-03-30
304,-0.498,0.09,0.857,0.053,2016-03-31
305,-0.4261,0.116,0.827,0.057,2016-04-01
306,-0.7184,0.154,0.798,0.048,2016-04-08
307,0.0,0.0,1.0,0.0,2016-04-12
308,0.9072,0.043,0.873,0.083,2016-04-22
309,0.0,0.0,1.0,0.0,2016-04-23
310,0.9493,0.0,0.811,0.189,2016-04-24
311,0.4019,0.0,0.92,0.08,2016-05-03
312,0.8625,0.0,0.812,0.188,2016-05-06
313,0.2732,0.0,0.943,0.057,2016-05-10
314,0.5122,0.055,0.846,0.099,2016-05-19
315,0.6705,0.061,0.827,0.113,2016-05-23
316,-0.3612,0.06,0.894,0.046,2016-05-26
317,-0.7783,0.107,0.893,0.0,2016-05-25
318,0.3612,0.0,0.783,0.217,2016-05-30
319,0.6486,0.0,0.71,0.29,2016-06-02
320,0.6124,0.0,0.889,0.111,2016-06-03
321,0.0,0.0,1.0,0.0,2016-06-07
322,0.296,0.0,0.962,0.038,2016-06-10
323,0.6486,0.0,0.892,0.108,2016-06-09
324,-0.4939,0.15,0.792,0.058,2016-06-14
325,0.0,0.0,1.0,0.0,2016-06-16
326,0.6597,0.0,0.924,0.076,2016-06-21
327,0.0,0.0,1.0,0.0,2016-06-23
328,0.6249,0.0,0.849,0.151,2016-06-24
329,0.34,0.0,0.92,0.08,2016-06-28
330,-0.8481,0.193,0.735,0.072,2016-06-29
331,0.6597,0.0,0.912,0.088,2016-07-01
332,0.0258,0.0,0.968,0.032,2016-07-07
333,0.0,0.0,1.0,0.0,2016-07-11
334,0.6808,0.0,0.843,0.157,2016-07-14
335,0.7906,0.0,0.918,0.082,2016-07-20
336,0.1779,0.068,0.853,0.079,2016-07-22
337,0.5267,0.0,0.833,0.167,2016-07-29
338,0.6597,0.0,0.843,0.157,2016-07-28
339,0.0,0.0,1.0,0.0,2016-08-01
340,0.296,0.0,0.909,0.091,2016-08-03
341,-0.1779,0.062,0.884,0.054,2016-08-02
342,0.0,0.0,1.0,0.0,2016-08-09
343,0.4767,0.0,0.945,0.055,2016-08-13
344,0.6705,0.0,0.851,0.149,2016-08-16
345,-0.128,0.057,0.872,0.071,2016-08-17
346,0.0,0.0,1.0,0.0,2016-08-19
347,-0.5719,0.19,0.81,0.0,2016-08-22
348,0.7096,0.0,0.912,0.088,2016-08-30
349,-0.6369,0.071,0.892,0.037,2016-09-01
350,0.0,0.0,1.0,0.0,2016-09-02
351,0.9764,0.005,0.868,0.127,2016-09-06
352,0.296,0.0,0.855,0.145,2016-09-10
353,0.8519,0.0,0.863,0.137,2016-09-13
354,0.0,0.0,1.0,0.0,2016-09-12
355,0.6808,0.0,0.915,0.085,2016-09-14
356,0.4215,0.0,0.926,0.074,2016-09-16
357,0.4215,0.0,0.963,0.037,2016-09-19
358,0.0,0.0,1.0,0.0,2016-09-20
359,0.7845,0.0,0.774,0.226,2016-09-26
360,0.0,0.0,1.0,0.0,2016-09-29
361,0.0,0.0,1.0,0.0,2016-10-03
362,0.9246,0.0,0.833,0.167,2016-10-06
363,0.9712,0.0,0.83,0.17,2016-10-11
364,0.2732,0.0,0.896,0.104,2016-10-14
365,0.0,0.0,1.0,0.0,2016-10-19
366,0.9531,0.046,0.837,0.117,2016-10-21
367,-0.0675,0.046,0.914,0.04,2016-10-22
368,0.9274,0.042,0.854,0.105,2016-10-27
369,0.2263,0.0,0.958,0.042,2016-10-28
370,0.4588,0.068,0.833,0.099,2016-10-29
371,0.4404,0.031,0.924,0.045,2016-10-31
372,-0.639,0.077,0.856,0.067,2016-11-01
373,-0.34,0.081,0.875,0.044,2016-11-04
374,0.5994,0.034,0.843,0.123,2016-11-05
375,0.0,0.0,1.0,0.0,2016-11-06
376,0.0,0.0,1.0,0.0,2016-11-08
377,0.7684,0.033,0.88,0.086,2016-11-10
378,0.7184,0.0,0.741,0.259,2016-11-09
379,0.0,0.0,1.0,0.0,2016-11-11
380,0.9765,0.0,0.838,0.162,2016-11-16
381,0.9674,0.0,0.859,0.141,2016-11-15
382,0.0,0.0,1.0,0.0,2016-11-22
383,0.5267,0.0,0.934,0.066,2016-11-28
384,-0.1531,0.068,0.932,0.0,2016-12-04
385,-0.1531,0.151,0.849,0.0,2016-12-03
386,0.0,0.0,1.0,0.0,2016-12-07
387,0.7092,0.014,0.896,0.091,2016-12-15
388,0.4404,0.033,0.869,0.098,2016-12-19
389,-0.1779,0.092,0.82,0.088,2017-01-11
390,0.0,0.0,1.0,0.0,2017-01-18
391,0.5719,0.0,0.856,0.144,2017-01-19
392,0.7003,0.084,0.795,0.12,2017-01-20
393,0.4019,0.0,0.871,0.129,2017-01-21
394,0.0,0.0,1.0,0.0,2017-01-26
395,0.4404,0.0,0.884,0.116,2017-01-25
396,0.9423,0.0,0.876,0.124,2017-02-01
397,0.4939,0.0,0.89,0.11,2017-02-03
398,0.4939,0.0,0.887,0.113,2017-02-04
399,0.1531,0.181,0.549,0.269,2017-02-06
400,0.6486,0.0,0.798,0.202,2017-02-08
401,0.3818,0.078,0.813,0.11,2017-02-10
402,0.5994,0.0,0.824,0.176,2017-02-13
403,0.6124,0.0,0.706,0.294,2017-02-15
404,0.4939,0.0,0.958,0.042,2017-02-21
405,-0.8807,0.082,0.918,0.0,2017-02-23
406,0.4215,0.073,0.814,0.113,2017-02-22
407,0.4404,0.063,0.785,0.151,2017-02-25
408,0.4215,0.0,0.915,0.085,2017-02-27
409,0.8746,0.031,0.747,0.222,2017-03-01
410,0.0,0.0,1.0,0.0,2017-03-02
411,0.5574,0.0,0.867,0.133,2017-03-07
412,0.6124,0.056,0.853,0.09,2017-03-09
413,0.8415,0.0,0.795,0.205,2017-03-08
414,0.2023,0.0,0.833,0.167,2017-03-13
415,-0.1027,0.063,0.879,0.058,2017-03-17
416,0.7906,0.0,0.911,0.089,2017-03-20
417,0.9607,0.059,0.754,0.187,2017-03-22
418,0.7269,0.0,0.839,0.161,2017-03-27
419,0.6369,0.0,0.816,0.184,2017-03-28
420,0.4215,0.0,0.95,0.05,2017-03-30
421,-0.2263,0.058,0.942,0.0,2017-04-05
422,0.5859,0.0,0.821,0.179,2017-04-04
